adoption_id,adoptions_id,date,quantity,book_id,isbn10,isbn13,title,category
1,1,7/12/2015,545,489,032182623X,9780321826237,Statistics for Business and Economics,Statistics
1,2,12/18/2015,138,603,0321825276,9780321825278,Intro Stats,Statistics
1,3,4/25/2015,158,480,032183870X,9780321838704,Fundamentals of Statistics,Statistics
1,4,6/21/2015,362,550,0321829174,9780321829177,Literature for Composition,English
1,5,11/21/2015,116,896,0132994895,9780132994897,Psychology of Investing,Business
1,6,6/12/2015,612,693,0133370437,9780133370430,"Network Security Essentials: Applications and Standards, 5/e",Computer Science
1,7,11/6/2015,282,943,0132991306,9780132991308,Modern Systems Analysis and Design,Business
2,1,5/13/2015,476,587,032183724X,9780321837240,Algebra and Trigonometry,Mathematics
2,2,1/30/2016,59,942,0133075222,9780133075229,Employment Law,Business
2,3,12/23/2015,68,686,0132869063,9780132869065,Ownership Series: Ownership: Study Strategies,Student Success
2,4,2/18/2016,314,626,0321880110,9780321880116,Elementary & Intermediate Algebra,Mathematics
2,5,2/9/2016,111,599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
2,6,1/9/2016,251,944,0132968363,9780132968362,Principles of Operations Management,Business
2,7,3/23/2015,213,928,0133043541,9780133043549,Human Resource Management,Business
2,8,12/24/2015,356,625,0132180537,9780132180535,"Career Tool Kit, The: Skills for Success",Student Success
2,9,6/6/2015,639,477,0133128083,9780133128086,Starting Out With Visual Basic,Computer Science
2,10,2/20/2016,527,972,0136090036,9780136090038,Making the Team,Business
2,11,7/2/2015,108,946,0133125637,9780133125634,Auditing and Assurance Services,Business
2,12,4/9/2015,687,549,0321886518,9780321886514,Complete Works of Shakespeare 7E,English
2,13,6/27/2015,231,586,0321729641,9780321729644,College Algebra: An Early Functions Approach,Mathematics
2,14,12/31/2015,282,895,0132971275,9780132971270,Intercultural Business Communication,Business
2,15,3/16/2015,246,583,032180709X,9780321807090,John E. Freund's Mathematical Statistics with Applications,Statistics
3,1,3/25/2015,494,955,0133251241,9780133251241,Horngren's Financial & Managerial Accounting,Business
3,2,2/5/2016,362,643,0132871696,9780132871693,Engineering Vibration,Engineering
3,3,7/5/2015,167,603,0321825276,9780321825278,Intro Stats,Statistics
3,4,2/23/2016,202,688,013340675X,9780133406757,"Essentials of Processes, Systems and Information: with SAP tutorials",Business
4,1,7/5/2015,412,951,0132992477,9780132992473,Corporate Finance,Business
4,2,3/7/2015,144,698,0136157394,9780136157397,Global Marketing Management,Business
4,3,7/26/2015,640,784,0133254429,9780133254426,Mechanics of Materials,Engineering
4,4,1/17/2016,451,904,0133063003,9780133063004,International Business,Business
4,5,9/12/2015,371,787,0133406954,9780133406955,Visual Basic 2012 How to Program,Computer Science
4,6,12/16/2015,119,952,0133097897,9780133097894,"Corporate Finance, The Core",Business
4,7,5/18/2015,104,478,0133129454,9780133129458,Starting out with Visual C# 2012 (with CD-Rom),Computer Science
4,8,2/14/2016,189,984,0132730359,9780132730358,E-Commerce 2013,Business
4,9,2/23/2016,597,599,032174747X,9780321747471,Analysis with an Introduction to Proof,Mathematics
4,10,6/12/2015,259,932,0132994879,9780132994873,Foundations of Finance,Business
4,11,8/24/2015,519,594,0321874226,9780321874221,Elementary Algebra:  Concepts & Applications,Mathematics
4,12,6/23/2015,500,652,0132481197,9780132481199,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success
4,13,5/18/2015,368,639,0133378500,9780133378504,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science
4,14,4/11/2015,308,911,0132994844,9780132994842,Economics,Economics
