adoption_id,message_id,date,content,category
1,1,3/4/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Help
1,2,7/7/2015,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Response
1,3,9/12/2015,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Response
1,4,6/14/2015,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Query
2,1,4/12/2015,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Response
2,2,9/29/2015,Duis at velit eu est congue elementum.,Help
2,3,2/13/2016,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Query
2,4,5/2/2015,Morbi non lectus.,Order
2,5,1/1/2016,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Order
2,6,6/6/2015,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Help
2,7,12/6/2015,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Response
2,8,3/30/2015,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Order
2,9,1/12/2016,Nulla mollis molestie lorem. Quisque ut erat.,Order
2,10,2/8/2016,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Help
2,11,3/2/2016,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Response
2,12,12/13/2015,Phasellus in felis.,Response
2,13,11/9/2015,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Request
2,14,11/28/2015,Nullam molestie nibh in lectus.,Response
2,15,9/10/2015,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",Query
3,1,4/8/2015,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Order
3,2,9/13/2015,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Request
3,3,2/9/2016,Morbi porttitor lorem id ligula.,Help
3,4,6/30/2015,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Query
3,5,4/19/2015,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Order
3,6,1/8/2016,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Response
3,7,8/22/2015,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Query
4,1,6/21/2015,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",Query
4,2,7/12/2015,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Help
4,3,6/28/2015,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Help
4,4,9/8/2015,Aenean sit amet justo.,Help
4,5,3/10/2015,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Query
4,6,6/14/2015,Morbi vel lectus in quam fringilla rhoncus.,Query
4,7,4/20/2015,Aenean auctor gravida sem.,Response
4,8,6/10/2015,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Help
4,9,4/25/2015,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Help
4,10,4/9/2015,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Request
4,11,6/12/2015,Donec vitae nisi.,Query
4,12,1/3/2016,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Query
4,13,2/22/2016,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Query
4,14,1/1/2016,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Response
5,1,1/26/2016,In quis justo.,Request
5,2,8/23/2015,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",Response
5,3,8/23/2015,Suspendisse accumsan tortor quis turpis. Sed ante.,Help
5,4,10/11/2015,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Query
5,5,2/11/2016,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Query
5,6,4/9/2015,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,Response
5,7,8/12/2015,Suspendisse potenti.,Query
5,8,7/19/2015,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Request
5,9,8/10/2015,Cras in purus eu magna vulputate luctus.,Query
5,10,8/5/2015,Sed ante.,Query
5,11,3/27/2015,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Response
5,12,1/29/2016,Proin eu mi.,Query
5,13,3/1/2016,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Order
5,14,8/28/2015,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Order
6,1,6/28/2015,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Help
6,2,6/23/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Query
6,3,7/21/2015,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Response
6,4,10/28/2015,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Order
6,5,7/14/2015,Morbi non lectus.,Help
6,6,3/30/2015,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Response
6,7,3/15/2015,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Query
6,8,11/9/2015,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Help
6,9,7/17/2015,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Response
6,10,1/12/2016,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Request
6,11,4/4/2015,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Response
7,1,3/30/2015,Aliquam erat volutpat.,Order
7,2,4/25/2015,Praesent blandit.,Help
